,0,1,2,3,4,5,6,7,8,9,10,11
657,O,X,X,X,O,,O,O,X,X,2,5
658,,,,,,,,,,X,0,6
659,,,,,,,X,,,O,2,0
660,O,,,,,,X,,,X,0,3
661,O,,,X,,,X,,,O,2,2
662,O,,O,X,,,X,,,X,0,8
663,O,,O,X,,,X,,X,O,2,1
664,,,,,,,,,,X,2,1
665,,X,,,,,,,,O,0,4
666,,X,,,O,,,,,X,2,8
667,,X,,,O,,,,X,O,0,6
668,,X,,,O,,O,,X,X,2,2
669,,X,X,,O,,O,,X,O,0,7
670,,X,X,,O,,O,O,X,X,2,0
671,,,,,,,,,,X,2,7
672,,,,,,,,X,,O,0,2
673,,,O,,,,,X,,X,2,1
